Id,Domain,,,,Queue notation,,working or not,,,,,,,,,,,shared
185,Airtable Developer,,,,,,relevant data not foud,,,,,,,,,,,
186,No Code Developer,,,,k,,1,,,,,,,,,,,
187,Notion Specialist,,,,,,relevant data not found,,,,,,,,,,,
188,Figma Designer,,,,,,relevant data not found,,,,,,,,,,,
189,Webflow Developer,,,,l,,1,,,,,,,,,,,
194,Digital Product Builder,,,,m,,1 done as product design engineer,,,,,,,,,,,
299,Social Video Marketer,,,,n,,1,,,,,,,,,,,
195,Conversation Designer,,,,a,,1,,,,,,,,,,,
196,Artificial Intelligence Trainer,,,,b,,1 AI-Expert,,,,,,,,,,,
197,Data Labelling Professional ,,,,c,,1,,,,,,,,,,,
198,AI Strategist,,,,,,no relevant data  found,,,,,,,,,,,
199,Threat Hunter,,,,g,,cyber security,,,,,,,,,,,
200,Analytics Translator,,,,f,,1,,,,,,,,,,,
201,AI Designer,,,,,,irrelevat,,,,,,,,,,,
203,Drone Journalist,,,,,,irrelevat,,,,,,,,,,,
204,Drone Photographer,,,,h,,1,,,,,,,,,,,
205,Drone Pilot,,,,i,,1,,,,,,,,,,,
206,Drone Cinematographer,,,,i,,1,,,,,,,,,,,
212,AR and VR content writers,,,,j,,1,,,,,,,,,,,
213,Mixed Reality Artist,,,,j,,1,,,,,,,,,,,
214, Content Lead (Oculus),,,,,,irrelevat,,,,,,,,,,,
215,Rigger,,,,,,1,,,,,,,,,,,
216,VR Sound Effects Specialist,,,,k,,sound designer,,,,,,,,,,,
217,Unity Developer,,,,k,,1,,,,,,,,,,,
218,VR Prototyper ,,,,,,irrelevant,,,,,,,,,,,
219,3D Artists: ,,,,k,,1,,,,,,,,,,,
221,crypto compliance consultant,,,,,,hold,,,,,,,,,,,
222,ICO advisor,,,,k,,1,,,,,,,,,,,
223,Smart Contract Auditing,,,,,,done as smart contract developer,,,,,,,,,,,
224,Investment Analytics,,,,,,hold,,,,,,,,,,,
225,Blockchain Manager,,,,k,,1,,,,,,,,,,,
261,Logo Designer,,,,l,,1,,,,,,,,,,,
262,Transcriptionist,,,,l,,1,,,,,,,,,,,
270,Ecommerce Specialist,,,,l,,1,,,,,,,,,,,
271,Cyptography Analyst,,,,l,,1,,,,,,,,,,,
272,Cryptographer,,,,l,,1,,,,,,,,,,,
273,Catastrophe Risk Analyst,,,,a,,1,,,,,,,,,,,
274,User Scientist,,,,,,not found,,,,,,,,,,,
275,Innovation consultant,,,,a,,1,,,,,,,,,,,
276,Product Hacker,,,,,,irrelevant,,,,,,,,,,,
277,No-Code teacher,,,,,,irrelevant,,,,,,,,,,,
278,No-Code CTO,,,,,,irrelevant,,,,,,,,,,,
279,Citizen developer,,,,a,,,,,,,,,,,,,
280,3D Printing Technician,,,,a,,,,,,,,,,,,,
281,AI Project Manager,,,,,,irrelevant,,,,,,,,,,,
282,Amazon FBA Seller,,,,a,,,,,,,,,,,,,
283,Content Moderator,,,,b,,,,,,,,,,,,,
284,CrossFit Coach,,,,b,,,,,,,,,,,,,
285,Cryptocurrency Speculator,,,,,,irrelevant,,,,,,,,,,,
286,Developer Evangelist,,,,b,,,,,,,,,,,,,
287,Edtech Manager,,,,,,irrelevant,,,,,,,,,,,
288,Employment Brand Manager,,,,,,irrelevant,,,,,,,,,,,
289,Growth Hacker,,,,b,,,,,,,,,,,,,
290,Inbound Marketing Specialist,,,,b,,includes much more digital marketing,,,,,,,,,,,
291,Legal Recreational Marijuana Budtender,,,,,,irrelevant,,,,,,,,,,,
292,Online Health Coach,,,,c,,1,,,,,,,,,,,
293,Solar Photovoltaic Installer,,,,c,,1,,,,,,,,,,,
294,Sustainability Expert,,,,c,,1,,,,,,,,,,,
296,Future Ready Professional,,,,,,irrelevant,,,,,,,,,,,
297,Digital Product Builder,,,,c,,1,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,
